CustomerID,churn_flag,avg_order_value,invoice_count,total_quantity,tenure_days
12346.0,1,77183.6,1,74215,0
12347.0,0,23.68131868131868,7,2458,365
12348.0,0,57.97548387096774,4,2341,282
12349.0,0,24.07602739726028,1,631,0
12350.0,1,19.670588235294115,1,197,0
12352.0,0,29.482823529411764,8,536,260
12353.0,1,22.25,1,20,0
12354.0,1,18.610344827586207,1,530,0
12355.0,1,35.33846153846154,1,240,0
12356.0,0,47.65135593220339,3,1591,302
12357.0,0,47.38679389312977,1,2708,0
12358.0,0,61.47684210526315,2,248,149
12359.0,0,25.6958870967742,4,1622,274
12360.0,0,20.63612403100775,3,1165,148
12361.0,1,18.99,1,91,0
12362.0,0,19.64748120300752,10,2229,292
12363.0,0,24.0,2,408,132
12364.0,0,15.448235294117646,4,1506,104
12365.0,1,29.15363636363636,2,174,0
12367.0,0,15.354545454545455,1,173,0
12370.0,0,21.231676646706585,4,2353,309
12371.0,0,29.96761904761905,2,591,14
12372.0,0,24.962307692307693,3,794,224
12373.0,1,26.042857142857144,1,197,0
12374.0,0,22.513030303030305,1,342,0
12375.0,0,26.91176470588235,2,178,87
12377.0,1,21.144415584415583,2,944,39
12378.0,0,18.30420091324201,1,2529,0
12379.0,0,21.306,2,407,88
12380.0,0,26.20009615384616,4,1127,164
12381.0,0,21.21045977011494,5,808,115
12383.0,1,18.69252525252525,5,1532,167
12384.0,0,21.676666666666662,2,126,92
12386.0,1,40.19,2,354,29
12388.0,0,27.8066,6,1462,311
12390.0,0,17.1825,1,353,0
12391.0,0,4.6089,1,300,0
12393.0,0,24.728125,4,816,260
12394.0,0,47.12888888888889,2,819,153
12395.0,0,19.350192307692307,12,2118,351
12397.0,0,19.12619047619048,2,1263,99
12398.0,0,19.24305882352941,1,1394,0
12399.0,0,18.790677966101697,4,1178,142
12401.0,1,16.86,1,11,0
12402.0,1,20.509090909090908,1,94,0
12403.0,0,85.53999999999999,1,96,0
12405.0,0,31.67388888888889,1,857,0
12406.0,0,32.52666666666667,2,1818,161
12407.0,0,22.183376623376624,5,1416,214
12408.0,0,27.51,5,1409,227
12409.0,0,101.58412844036695,3,5551,103
12410.0,1,26.66653846153845,2,211,0
12412.0,0,20.112786885245903,3,829,94
12413.0,0,19.95,3,286,270
12414.0,1,31.245,3,300,93
12415.0,0,174.95032212885152,21,77374,313
12417.0,0,19.005729166666665,9,1552,354
12418.0,0,19.664117647058823,1,407,0
12420.0,0,20.70310344827586,1,345,0
12421.0,0,17.93422222222222,4,484,303
12422.0,0,20.604102564102565,3,370,229
12423.0,0,14.87448,8,1339,352
12424.0,0,58.69866666666667,2,740,0
12425.0,0,21.58888888888889,1,496,0
12426.0,1,19.424333333333333,1,258,0
12427.0,0,26.63870967741936,3,533,349
12428.0,0,27.062789115646257,9,3536,257
12429.0,0,38.66391752577319,4,1557,356
12430.0,0,23.30909090909091,1,117,0
12431.0,0,27.60617021276596,15,2906,338
12432.0,0,46.84555555555556,5,1801,129
12433.0,0,31.847309523809525,7,11071,372
12434.0,0,16.122799999999998,2,394,175
12435.0,0,217.49694444444447,2,2055,188
12436.0,0,31.813125,1,211,0
12437.0,0,24.88145728643216,18,2922,329
12438.0,0,29.66173469387755,2,1180,125
12441.0,1,15.77727272727273,1,121,0
12442.0,0,14.338333333333331,1,182,0
12444.0,0,28.44011363636364,5,1153,149
12445.0,0,33.35,1,62,0
12446.0,0,17.584385964912283,1,351,0
12447.0,1,18.326538461538465,1,190,0
12448.0,0,20.42954545454545,1,243,0
12449.0,0,21.29471204188481,4,1553,164
12450.0,0,24.735,2,128,17
12451.0,0,25.52406779661017,5,6575,313
12452.0,0,19.571363636363635,2,185,0
12453.0,0,16.443953488372095,1,473,0
12454.0,0,235.22266666666667,1,1006,0
12455.0,0,27.40955555555556,6,2089,223
12456.0,0,25.44832,3,1633,210
12457.0,0,38.11661290322581,7,843,172
12458.0,0,24.931578947368426,2,506,213
12461.0,0,23.62514285714286,2,287,60
12462.0,0,19.186935483870965,2,536,284
12463.0,0,16.202168674698793,4,776,188
12464.0,0,41.79482758620689,8,112,299
12465.0,0,15.79127659574468,2,479,152
12468.0,1,19.19842105263158,2,366,128
12471.0,0,43.09576086956522,30,8212,362
12472.0,0,19.386755162241887,7,4148,336
12473.0,0,23.44375,5,2439,162
12474.0,0,17.395731132075472,18,4847,312
12475.0,0,20.093888888888888,1,535,0
12476.0,0,29.255021459227468,11,2408,345
12477.0,0,44.0658,6,3653,278
12478.0,0,18.91638888888889,1,236,0
12479.0,0,17.006451612903227,1,385,0
12480.0,0,21.30928571428572,4,1707,307
12481.0,0,25.7894930875576,10,3304,342
12483.0,0,33.133066666666664,8,1110,322
12484.0,0,13.126358381502891,6,2191,303
12488.0,0,23.612,3,529,65
12489.0,1,22.328666666666667,1,105,0
12490.0,0,22.114,10,3064,324
12491.0,0,17.70769230769231,1,260,0
12492.0,0,13.160500000000004,2,192,42
12493.0,0,19.715454545454545,2,207,31
12494.0,0,16.183116883116885,7,707,349
12497.0,0,74.50714285714285,1,1236,0
12498.0,0,17.55217391304348,3,159,36
12500.0,0,69.80032786885245,11,2678,310
12501.0,1,14.5596644295302,1,1783,0
12502.0,0,25.332448979591835,5,820,214
12504.0,0,53.5611111111111,2,90,12
12506.0,1,3.1956521739130435,1,23,0
12507.0,0,62.13380952380952,3,894,164
12508.0,0,5.772028985507246,2,272,2
12509.0,1,25.214285714285715,1,55,0
12510.0,0,29.774848484848484,2,353,182
12512.0,0,4.059705882352941,2,99,0
12513.0,0,17.494,1,462,0
12514.0,1,19.954509803921567,1,440,0
12515.0,1,23.98125,1,131,0
12516.0,0,50.46384615384615,2,875,102
12517.0,0,8.812816901408452,5,1371,161
12518.0,0,16.58782258064516,5,1318,109
12519.0,0,18.93555555555556,1,183,0
